author_adjlist,author_metis,verified,activity,defaultprofile,userurl,hashtag,tweeturl,mentions,media,retweets
8437691       ,7041        ,1       ,1       ,0             ,1      ,0      ,0       ,1       ,1    ,10
7108444       ,3389        ,0       ,0       ,0             ,0      ,1      ,1       ,1       ,0    ,1
4525795       ,3682        ,0       ,1       ,0             ,1      ,1      ,0       ,1       ,1    ,0
6244880       ,6666        ,0       ,0       ,0             ,0      ,1      ,0       ,0       ,1    ,4
160164        ,4459        ,0       ,0       ,0             ,1      ,1      ,0       ,1       ,0    ,0
8335955       ,3640        ,0       ,1       ,1             ,0      ,1      ,0       ,0       ,0    ,0
6044595       ,2995        ,0       ,0       ,1             ,0      ,0      ,0       ,1       ,1    ,0
1552890       ,5610        ,0       ,1       ,0             ,0      ,1      ,1       ,0       ,0    ,0
1578017       ,2666        ,0       ,0       ,0             ,1      ,0      ,1       ,0       ,1    ,1
3240282       ,3405        ,0       ,0       ,1             ,0      ,1      ,1       ,1       ,0    ,0
3526909       ,5213        ,0       ,0       ,0             ,0      ,1      ,0       ,0       ,0    ,0
4490789       ,4666        ,0       ,0       ,0             ,1      ,1      ,0       ,0       ,0    ,36
8708803       ,2218        ,1       ,0       ,0             ,1      ,1      ,0       ,0       ,1    ,0
2537719       ,7074        ,0       ,0       ,0             ,0      ,0      ,0       ,1       ,1    ,7
8437691       ,7041        ,1       ,1       ,0             ,1      ,0      ,0       ,1       ,1    ,0
7954003       ,3434        ,0       ,0       ,1             ,1      ,0      ,0       ,0       ,0    ,0
2537719       ,7074        ,0       ,0       ,0             ,0      ,0      ,0       ,1       ,1    ,3
4760189       ,3885        ,0       ,1       ,0             ,1      ,0      ,0       ,1       ,0    ,0
791196        ,8295        ,0       ,0       ,1             ,0      ,1      ,1       ,0       ,1    ,0
2537719       ,7074        ,0       ,0       ,0             ,0      ,1      ,0       ,1       ,1    ,2
2229006       ,7652        ,0       ,0       ,1             ,0      ,1      ,0       ,1       ,1    ,1
4140149       ,3334        ,0       ,0       ,1             ,1      ,0      ,0       ,1       ,1    ,2
3777336       ,3895        ,0       ,0       ,0             ,0      ,0      ,0       ,0       ,0    ,0
1559022       ,5671        ,0       ,0       ,0             ,0      ,1      ,0       ,1       ,1    ,0
8214250       ,8148        ,0       ,1       ,1             ,0      ,0      ,1       ,1       ,0    ,0
7028851       ,3595        ,0       ,0       ,0             ,0      ,0      ,1       ,0       ,0    ,0
6975327       ,7033        ,0       ,0       ,0             ,1      ,0      ,0       ,1       ,0    ,0
5415469       ,8360        ,0       ,0       ,0             ,0      ,1      ,0       ,1       ,1    ,4
8556006       ,4781        ,0       ,0       ,0             ,0      ,1      ,0       ,0       ,0    ,1
6709789       ,7374        ,0       ,0       ,0             ,0      ,0      ,1       ,0       ,0    ,0
1514917       ,6727        ,0       ,0       ,0             ,1      ,0      ,0       ,0       ,0    ,2
6208090       ,5690        ,0       ,0       ,0             ,0      ,1      ,0       ,1       ,0    ,0
8335642       ,137         ,0       ,1       ,0             ,0      ,0      ,1       ,1       ,0    ,0
1559022       ,5671        ,0       ,0       ,0             ,0      ,0      ,1       ,1       ,0    ,1
1559022       ,5671        ,0       ,0       ,0             ,0      ,0      ,1       ,1       ,0    ,2
6599683       ,5296        ,1       ,0       ,0             ,1      ,0      ,1       ,0       ,0    ,19
3822304       ,2244        ,0       ,1       ,0             ,0      ,0      ,0       ,1       ,0    ,0
6244880       ,6666        ,0       ,0       ,0             ,0      ,1      ,0       ,0       ,1    ,0
8556006       ,4781        ,0       ,0       ,0             ,0      ,1      ,0       ,0       ,0    ,0
