author,verified,activity,defaultprofile,userurl,hashtag,tweeturl,mentions,media,retweets
6200809,0,0,0,1,1,1,0,1,3
8828482,0,1,1,1,0,0,0,0,0
4093778,0,1,0,0,1,0,1,0,0
3526909,0,0,0,0,1,0,0,0,0
6126559,0,0,1,0,1,0,1,0,0
4896259,0,0,0,0,1,0,0,0,2
6816680,0,0,1,0,0,0,1,0,0
15993,0,0,1,0,0,0,0,0,1
6043404,0,1,1,0,1,0,0,0,1
7664333,0,0,0,0,1,0,1,0,7
8283951,0,0,0,0,1,0,0,0,0
957894,0,0,0,1,1,0,1,0,0
8437691,1,1,0,1,1,0,1,0,0
9228249,0,0,1,0,1,0,1,0,4
8437691,1,1,0,1,1,0,1,0,3
2301492,0,1,1,0,1,0,1,0,0
4719168,0,0,0,0,1,0,0,0,0
3742385,0,0,1,0,1,0,1,0,0
3030359,0,0,0,0,0,0,0,0,0
8438535,0,0,0,1,1,0,1,0,1
6299471,0,0,0,0,1,0,0,0,1
7454383,0,0,1,0,1,0,1,0,0
5058486,0,0,0,0,1,0,0,0,12
487733,0,0,0,1,0,0,1,0,3
1426031,0,0,1,0,1,0,1,0,0
2394846,0,0,1,0,1,0,1,0,0
9129675,0,1,0,0,1,0,1,0,0
1448310,0,1,0,1,1,1,0,0,0
8404848,0,0,0,0,0,0,1,0,0
8214250,0,1,1,0,0,1,1,0,0
7368360,0,0,1,0,1,0,1,1,0
7532674,0,1,0,1,1,0,0,0,0
1559022,0,0,0,0,0,1,1,0,25
345299,0,0,0,1,0,0,1,0,0
4863711,0,1,0,0,1,0,0,0,0
8996085,0,0,1,0,0,0,0,0,0
4272018,0,0,1,1,1,0,1,0,0
6041901,0,0,1,0,1,0,1,0,1
3523723,0,0,1,0,1,0,0,0,0
4974486,0,0,1,0,1,0,0,0,0
5029074,0,0,1,0,0,0,0,0,5
6662877,0,0,1,1,0,0,1,0,0
1230736,0,0,0,1,1,0,0,0,0
95435,0,1,0,0,0,0,1,0,0
4660009,0,0,0,0,1,0,1,0,0
3190527,0,0,1,0,1,0,1,0,1
3669096,0,0,0,0,0,1,1,0,2
6163555,0,0,1,0,1,0,0,1,0
9090865,0,1,1,0,0,1,0,0,3
666931,0,0,0,0,0,0,0,0,0
725113,0,0,0,1,1,1,0,0,0
4438819,0,0,0,0,1,0,0,0,0
1305024,0,0,1,0,0,0,1,0,0
1449443,0,0,0,1,0,0,0,0,0
9042606,0,0,1,0,1,0,0,0,1
9233217,0,0,0,0,1,0,0,0,0
2001334,0,0,0,1,0,0,1,0,0
2434090,0,0,1,1,0,1,1,0,0
4812930,0,0,1,0,0,0,0,0,0
2718953,0,0,0,1,1,0,1,0,2
641743,0,0,0,0,1,0,1,1,3
4863711,0,1,0,0,0,0,1,0,1
4863711,0,1,0,0,1,0,0,0,2
7859694,0,0,0,0,0,0,1,0,0
4034430,0,0,0,1,1,0,0,0,0
4528814,0,0,0,1,0,0,1,0,0
5198383,0,0,0,1,0,0,1,0,0
8950826,0,0,0,0,1,0,0,0,0
2096635,1,0,0,1,1,0,1,1,6
